k,Kmeans,GMM
2,0.3044372109253641,0.0017969025307544594
3,0.23756090750887374,0.15411641882779933
4,0.17816036282318135,0.07910068641763086
5,0.2182238099421387,0.11953819146231426
6,0.21134602071028274,0.1781459476230676
7,0.19831555710735707,0.18719431975321482
10,0.18228532867479605,0.20110089075594348
15,0.19839333969467576,0.18414143566926383
20,0.17970027910151082,0.18310839982717717
25,0.18024526616454573,0.1707175217743729
30,0.1889873332360691,0.1785860451152008
