k,Phishing log-likelihood
2,-4.972191790684236
3,-2.21239590852518
4,0.6584527843156743
5,1.9303657644747132
6,6.512261884883574
7,6.966261483879479
10,8.854808046811556
15,11.071355614546453
20,13.868710960923666
25,14.021848679234846
30,15.841237684926387
