k,Phishing BIC
2,14240.64966506216
3,7169.196387489146
4,-202.76579578881228
5,-3248.007940549778
6,-15250.064462826764
7,-16082.032998160286
10,-20002.776858806308
15,-24017.982679349974
20,-29604.854348899742
25,-28036.47311690283
30,-30976.967868557178
