k,Phishing sse (left)
2,9881.808586755898
3,8695.481620544848
4,7709.594648873857
5,7130.991615369614
6,6597.406957772092
7,6238.081767208368
10,5403.973080751957
15,4649.802487608706
20,4142.672808858819
25,3701.3987760726163
30,3414.501392727302
