,0
1,2.3332510469707737
2,1.4543741460609236
3,1.1467292914254534
4,0.9984122846568917
5,0.8370492780668836
6,0.7667835811501631
7,0.6577285376891603
8,0.5042439352722027
9,0.3080847034412692
