k,Diabetes Data Set log-likelihood
2,5.817487164791645
3,12.753272190683616
4,15.220152137034598
5,14.22463196463245
6,21.316790965054526
7,21.943303027705017
10,24.612197842726882
15,28.85631696146345
20,29.985776605109887
25,30.671289945808283
30,31.762648684672715
35,34.591019998113474
40,34.30634448719338
45,36.50766906376058
50,37.686953661656254
