k,Diabetes Data Set sse (left)
2,16461.366951730688
3,13354.911985261375
4,11680.254279302631
5,10552.902832420958
6,9619.387989033674
7,8759.570068786228
10,7147.304179256314
15,5873.8138030367145
20,4937.629237859789
25,4398.512428647898
30,3996.6951907427915
35,3705.678393135026
40,3446.173120796238
45,3233.172436645654
50,3061.7428811827194
